Error,설명,
frozenset,"frozenset은 집합(set)과 유사한 동작을 하며, 중복되지 않는 항목들의 모음을 저장할 수 있습니다.
하지만 frozenset은 한 번 생성되면 내부 요소를 변경할 수 없기 때문에 불변성을 가집니다.
frozenset은 이터러블(iterable)객체를 받아서 만들어집니다.
frozenset의 주요 특징은 다음과 같습니다.

1. 불변성
2. 중복 요소 제거
3. 순서 없음","
"
globals,globals 함수는 현재 전역 심볼 테이블을 나타내는 딕셔너리를 반환합니다.,"globals()

결과값:
{'__name__':'__main__', ...}"
hasattr,"hasattr 함수는 객체가 특정 속성(attribute)을 가지고 있는지 확인하는 파이썬의 내장 함수입니다.
주어진 객체가 지정된 이름의 속성ㅇ르 가지고 있는 경우 'True'를 반환하고, 속성을 가지고 있지 않거나 접근할 수 없는 경우 'False'를 반환합니다.
hasattr 함수는 다음과 같은 형식으로 사용됩니다.

hasattr(object, name)
- object : 속성을 확인할 객체
- name : 확인할 속성의 이름(string)","class Ex_Class:
    def __init__(self, name):
        self.name = name

obj = Ex_Class(""John"")

print(hasattr(obj, ""name""))
print(hasattr(obj, ""age""))

결과값:
True
False"
hash,"hash 함수는 주어진 객체의 해시 값을 반환하는 Python 함수입니다.
해시 값은 임의의 크기를 가지는 정수로, 객체의 내용을 고유하게 대표합니다.
hash 함수는 불변한 객체에 대해서만 유효하며, 가변 객체에 대해서는 호출할 수 없습니다.
또한 hash 함수의 반환 값은 실행할 때 마다 다를 수 있으며, 해시 충돌의 가능성이 있습니다.","print(hash(""Hello""))
print(hash(42))

결과값:
9157133087770006655
42
"
help,"help 함수는 파이썬의 내장 도움말 시스템을 사용하여 객체나 모듈에 대한 도움말 정보를 제공합니다.
help 함수는 다음과 같은 형식으로 사용됩니다.

help(object)
- object : 도움말을 조회할 객체 또는 모듈","import math
help(math)"
hex,hex함수는 정수를 “0x” 접두사가 붙은 소문자 16진수 문자열로 변환합니다.,"print(hex(42))

결과값:
0x2a"
id,id 함수는 Python 객체의 고유 식별자(unique identifier)를 반환하는 내장 함수입니다.,"str1 = ""Hello""
str2 = ""Hello""
str3 = ""Hallo""
print(id(str1))
print(id(str2))
print(id(str3))

결과값:
3040018984688
3040018984688
3040019096496"
isinstance,"isinstance 함수는 주어진 객체가 특정 클래스의 인스턴스인지를 확인하는 내장 함수입니다.
isinstance 함수는 객체와 클래스를 비교하여 객체가 해당 클래스의 인스턴스인 경우 True를, 아니라면 False를 반환합니다.","print(isinstance(""Hello"", int))

결과값:
False"
issubclass,"issubclass 함수는 Python에서 클래스의 상속 관계를 확인하는 내장 함수입니다.
이 함수는 주어진 클래스가 다른 클래스의 서브클래스인지를 판별하여 True 또는 False를 반환합니다.","class A:
    pass

class B(A):
    pass

print(issubclass(B, A))
print(issubclass(A, B))

결과값:
True
False"
iter,"iter는 Python의 내장 함수 중 하나로, 반복 가능한 객체(iterable)를 받아 이터레이터(iterator)를 반환합니다.
iter 함수의 구문은 다음과 같습니다.

iter(iterable, sentinel)
- iterable: 반복 가능한 객체입니다. 이터레이터를 생성할 객체입니다.
- sentinel (옵션): 선택적으로 지정할 수 있는 매개변수입니다. 이터레이터를 종료시키기 위한 종료 조건을 나타내는 값을 지정할 수 있습니다. sentinel 값을 지정하지 않으면 기본적으로 iterable 객체의 끝까지 반복합니다.
","my_list = [1, 2, 3, 4, 5]
my_iter = iter(my_list)
print(next(my_iter))
print(next(my_iter))
print(next(my_iter))

결과값:
1
2
3"
locals,"현재 지역 심볼 테이블을 나타내는 딕셔너리를 갱신하고 돌려줍니다.
모듈 수준에서 locals()와 globals()는 같은 딕셔너리임에 유의하세요.","locals()

결과값:
{'__name__':'__main__', ...}"
memoryview,"지정된 인자로부터 만들어진 “메모리 뷰” 객체를 돌려줍니다.
이를 통해 Python에서 데이터의 메모리를 직접 조작할 수 있습니다.","ex_data = b""Hello, World!""
view = memoryview(ex_data)
print(view[0])

결과값:
72"
next,next 함수는 이터레이터(iterator)객체에서 다음 값을 가져오는 역할을 합니다.,"my_list = [1, 2, 3, 4, 5]
my_iterator = iter(my_list)

print(next(my_iterator))
print(next(my_iterator))
print(next(my_iterator))

결과값:
1
2
3"
object,"object(객체)는 프로그래밍에서 데이터와 그 데이터를 조작하는 함수들을 하나로 묶어서 다루는 개념입니다.
object(객체)는 클래스(Class)를 기반으로 생성됩니다.","
"
oct,oct 함수는 정수를 “0o”로 시작하는 8진수 문자열로 변환합니다.,"print(oct(42))

결과값:
0o52"
pow,"pow 함수는 하나의 숫자를 다른 숫자의 거듭제곱으로 계산하는 기능을 제공합니다.
pow(x, y) 형태로 사용되며, x를 y번 거듭제곱한 값을 반환합니다.","print(pow(2, 3))

결과값:
8"
@property,"@property는 Python에서 속성에 대한 접근과 설정을 컨트를하기 위한 내장 데코레이터입니다.
일반적으로 클래스의 속성은 직접적으로 접근 가능하며, obj.attribute와 같은 형태로 값을 가져오거나 설정할 수 있습니다.
그러나 property를 사용하면 속성을 메서드로 감싸고, 속성에 접근하는 동작을 추가적인 로직을 수행하도록 커스터마이즈할 수 있습니다.
property를 정의하기 위해 다음 세 가지 메서드를 활용합니다:

1. getter: 속성 값을 반환하는 메서드를 정의합니다.
2. setter: 속성 값을 설정하는 메서드를 정의합니다.
3. deleter: 속성을 삭제하는 메서드를 정의합니다.","class Circle:
    def __init__(self, radius):
        self.radius = radius

    @property
    def area(self):
        return 3.14 * self.radius ** 2

circle = Circle(3)
print(circle.area)

결과값:
28.26"
repr,"repr은 Python 내장 함수로, 객체의 ""official"" 또는 ""표현적인"" 문자열 표현을 반환하는 기능을 제공합니다.
repr(object) 형태로 사용되며, object의 __repr__() 메서드를 호출하여 해당 문자열을 얻습니다.
","class Point:
    def __init__(self, x, y):
        self.x = x
        self.y = y

    def __repr__(self):
        return f""Point({self.x}, {self.y})""

p = Point(1, 2)
print(repr(p))

결과값:
Point(1, 2)"
reversed,"reversed()는 Python 내장 함수로, 시퀀스(sequence)를 역순으로 반복하는 기능을 제공합니다.
reversed(sequence) 형태로 사용되며, sequence의 역순을 나타내는 반복 가능한 객체(iterator)를 반환합니다.","numbers = [1, 2, 3]

for num in reversed(numbers):
    print(num)

결과값:
3
2
1"
round,round()는 숫자를 가장 가까운 정수 또는 지정된 소수 자릿수로 반올림하는 기능을 제공합니다.,"print(round(3.141592))
print(round(3.141592, 2))

결과값:
3
3.14"
setattr,"setattr 함수는 객체의 속성을 동적으로 설정하는 기능을 제공합니다.
setattr(object, name, value) 형태로 사용되며, object는 속성을 설정할 객체를 나타내고, name은 설정할 속성의 이름, value는 설정할 속성의 값을 의미합니다.","class Person:
    pass

person = Person()

setattr(person, 'name', 'John')
setattr(person, 'age', 25)

print(person.name)
print(person.age)

결과값:
John
25"
@staticmethod,"@staticmethod는 Python에서 사용되는 데코레이터(decorator) 중 하나로, 클래스 내에 정의된 메서드를 정적(static) 메서드로 변환합니다.
정적 메서드는 클래스의 인스턴스 없이 직접 클래스에서 호출할 수 있는 메서드입니다.
따라서 정적 메서드는 클래스의 인스턴스와 상태에 의존하지 않고, 독립적인 기능을 수행합니다.
","class MathUtils:
    @staticmethod
    def add(x, y):
        return x + y

result = MathUtils.add(3, 4)
print(result)

결과값:
7"
super,"super() 함수는 상위 클래스(superclass)에 대한 메서드 호출을 가능하게 합니다.
super() 함수를 사용하여 상위 클래스의 메서드를 호출하면, 현재 클래스의 인스턴스를 기반으로 상위 클래스의 메서드가 실행됩니다.
super() 함수의 형식은 다음과 같습니다.

class super(SubClass, self or object)
- SubClass : 현재 클래스의 이름을 나타냅니다.
- self : 현재 클래스의 인스턴스를 참조합니다. 이 형식을 사용하면 현재 클래스의 메서드에서 상위 클래스의 메서드를 호출할 수 있습니다.
- object : 현재 클래스의 인스턴스가 아닌 다른 객체를 참조합니다. 이 형식을 사용하여 현재 클래스가 아닌 다른 클래스의 메서드에서 상위 클래스의 메서드를 호출할 수 있습니다.","class Parent:
    def greet(self):
        print(""Hello from Parent"")

class Child(Parent):
    def greet(self):
        super().greet()
        print(""Hello from Child"")

child = Child()
child.greet()

결과값:
Hello from Parent
Hello from Child"
import,"import는 Python에서 모듈(Module)이나 패키지(package)를 가져오는ㄷ네 사용되는 키워드입니다.
import 문을 사용하는 방법은 다음과 같습니다.

1. 단일 모듈 또는 패키지 전체를 가져오기
2. 특정 요소만 가져오기
3. 모듈 또는 패키지를 별칭으로 가져오기","# example_1 : 전체 가져오기
import math

# example_2 : 일부 가져오기
from math import sqrt

# example_3 : 별칭으로 가져오기
import math as soohack"
Unicode,"Unicode는 전 세계의 모든 문자를 컴퓨터에서 일관되게 표현하기 위한 표준 인코딩 시스템입니다.
Unicode는 문자를 코드 포인트(code point)라고 하는 고유한 숫자 값으로 매핑합니다.
이러한 코드 포인트는 16진수로 표현됩니다.","
unicode_str = ""안녕하세요""
encoded_str = unicode_str.encode('utf-8')
print(encoded_str)

결과값:
b'ìëíì¸ì' "
Key,"Key는 Python에서 주로 딕셔너리(Dictionary) 데이터 구조에서 사용되는 용어입니다.
딕셔너리는 키(Key)와 값(Value)으로 이루어진 데이터를 저장하고 관리합니다.
키(Key)는 변경할 수 없는 데이터 타입이어야 합니다.","# Dictionary 구조
ex_dict = {'Key' : 'Value'}"
Value,"Key는 Python에서 주로 딕셔너리(Dictionary) 데이터 구조에서 사용되는 용어입니다.
딕셔너리는 키(Key)와 값(Value)으로 이루어진 데이터를 저장하고 관리합니다.
값(Value)은 변경 가능한 데이터 타입이므로, 딕셔너리 내의 값을 수정하거나 업데이트할 수 있습니다.","# Dictionary 구조
ex_dict = {'Key' : 'Value'}"
index,"index는 여러 데이터 구조에서 사용되는 용어입니다.
index는 데이터 구조에서 특정 요소의 위치나 색인을 나타내는 데 사용됩니다.
다음은 index가 사용되는 예시입니다.

1. 리스트(List)의 인덱스
2. 문자열(String)의 인덱스
3. 데이터프레임(DataFrame)의 인덱스

이 밖에도 여러 데이터 구조에서 index가 사용됩니다.","import pandas as pd

# example_1 : 리스트(List)의 인덱스
ex_list = [1, 2, 3]
print(ex_list[1])

# example_2 : 문자열(String)의 인덱스
ex_string = ""Hello World!""
print(ex_string)

# example_3 : 데이터프레임(DataFrame)의 인덱스
ex_data = {'Name' : ['Jone', 'Jane'], 'Age' : [30, 20]}
df = pd.DataFrame(ex_data)
print(list(df.loc[0]))

결과값:
2
Hello World!
['Jone', 30]"
row,"row는 데이터 테이블에서 가로 방향으로 구성된 데이터의 단위를 의미합니다.
row는 데이터 테이블에서 행(row) 부분을 칭합니다.
행(row) 인덱스(index)를 사용하여 특정 행에 접근하거나 조작할 수 있습니다.","import pandas as pd

ex_data = {'Name' : ['Jone', 'Jane'], 'Age' : [30, 20]}
df = pd.DataFrame(ex_data)

row_0 = df.loc[0]
print(row_0)

결과값:
Name    Jone
Age       30
Name: 0, dtype: object"
column,"column은 데이터 테이블에서 세로 방향으로 구성된 데이터의 단위를 의미합니다.
column은 데이터 테이블에서 열(column) 부분을 칭합니다.
열 이름을 사용하여 특정 열에 접근하거나 조작할 수 있습니다.","import pandas as pd

ex_data = {'Name' : ['Jone', 'Jane'], 'Age' : [30, 20]}
df = pd.DataFrame(ex_data)

name_column = df['Name']
print(name_column)

결과값:
0    Jone
1    Jane
Name: Name, dtype: object"
